Leonxlnx/taste-skill	brandkit
Leonxlnx/taste-skill	design-taste-frontend
Leonxlnx/taste-skill	design-taste-frontend-v1
Leonxlnx/taste-skill	full-output-enforcement
Leonxlnx/taste-skill	gpt-taste
Leonxlnx/taste-skill	high-end-visual-design
Leonxlnx/taste-skill	image-to-code
Leonxlnx/taste-skill	imagegen-frontend-mobile
Leonxlnx/taste-skill	imagegen-frontend-web
Leonxlnx/taste-skill	industrial-brutalist-ui
Leonxlnx/taste-skill	minimalist-ui
Leonxlnx/taste-skill	redesign-existing-projects
Leonxlnx/taste-skill	stitch-design-taste
pbakaus/impeccable	impeccable
vercel-labs/skills	find-skills
